gene,DM_1,DM_2,DM_3,DM_4,DM_5,selected,Pseudoorder-1,Pseudoorder-2,Pseudoorder-3
BC001981,0.0012937931685738434,0.003404515250893754,-0.000700233468901179,0.0023700525483968653,-0.00030920520713146303,Trajectory-3,0.0,0.0,121.0
Bex4,0.0012538877297740912,-0.0005416672871916532,0.003851495933599821,0.003805556416676436,-0.0006465323752570432,Other,0.0,0.0,0.0
Bmp2,-0.00029607004679916166,0.0014002756408768103,0.0006312989382309438,-0.009422015072127069,-0.0020887834452274737,Trajectory-2,0.0,128.0,0.0
Bmp4,-0.00018516953634781106,0.003495807687752508,0.00111442966468678,-0.01716286369739848,-0.007956317586705194,Trajectory-3,0.0,0.0,1.0
Calca,0.0014929549843906236,-0.0030492343545239055,0.005153137130773734,0.00658010551097178,0.0005979277724410375,Other,0.0,0.0,0.0
Capsl,0.0013098847753905227,-0.00023330796535586253,0.0030614936150324948,0.003303728910734889,-0.0003889051377428762,Other,0.0,0.0,0.0
Car2,0.0009492641116241712,0.0002479595720021751,0.0026093193230293113,0.0014520798540962464,-0.0006267408177822768,Other,0.0,0.0,0.0
Car3,0.0012852000925088712,0.012611269960267202,-0.009898781912166898,0.003242512675123116,0.00013331820803785742,Trajectory-3,0.0,0.0,151.0
Car4,0.0011564971258410906,-1.332807399227157e-05,0.0032868032804821705,0.002407149646918751,-0.000996492037278152,Other,0.0,0.0,0.0
Cbfa2t3,-0.03055339300137471,0.0006922774630485494,0.0005674448553746463,-0.010263125982750684,0.028730690342855778,Trajectory-1,17.0,0.0,0.0
Ccdc113,0.0007774868197198731,-0.0008615684128632191,0.0014813446300857437,-0.0018814027124061372,0.0010121973310832097,Trajectory-2,0.0,27.0,0.0
Ccdc151,0.0011877933521025478,-0.001050929773334643,0.0029629922046663735,0.0023359441859781495,0.00020108566661738297,Other,0.0,0.0,0.0
Ccdc153,0.0005831257926825664,-0.000854792295180133,0.0011731945440446904,-0.002908084390751197,0.0012632367467535388,Trajectory-2,0.0,18.5,0.0
Ccdc169,0.0013810285049608378,-0.0018176749055177064,0.003250451496527114,0.004342202019376338,0.00028784755395530045,Trajectory-2,0.0,99.0,0.0
Ccdc189,0.0011596632982886345,0.0003324721491862271,0.0022375183415549145,0.0015750246470753301,-0.0005806030750650345,Trajectory-3,0.0,0.0,28.0
Ccdc39,0.0011268837329895187,-0.0007934181818353444,0.002676907248877973,0.00175679393884455,0.00015219810258458182,Other,0.0,0.0,0.0
Ccdc65,0.0009227663131871275,-0.00037043819081326727,0.0016322311487020603,-0.0007761945465311127,0.000438335299679043,Trajectory-2,0.0,57.0,0.0
Ccl2,-0.0003389237402283283,0.002783864500543068,0.0017612907288145057,-0.021140892153302886,-0.0106770224527259,Other,0.0,0.0,0.0
Ccl20,0.0012757926297000113,-0.004735461754891793,-0.0005763662394012327,0.001311204121090783,0.00033444197161907046,Trajectory-2,0.0,141.0,0.0
Ccnb3,0.000862027319876993,0.0029153943871529004,-0.0008483533024573421,-0.0013619405509262264,-0.0003164463585566906,Trajectory-3,0.0,0.0,105.0
Ccno,0.001153203448627519,-0.0006038419006582437,0.0024427354545177703,0.0014255367114309376,0.00023627233698787745,Other,0.0,0.0,0.0
Ccpg1os,0.0012706695336800059,0.00014142748393306003,0.0030007376088409233,0.0030111288613163673,-0.0006369132639962143,Trajectory-3,0.0,0.0,27.0
Cd59a,-0.00072142269763335,-0.0036407203107586454,-0.002029468200050419,-0.003301689468820934,0.0019852233026551353,Trajectory-2,0.0,157.0,0.0
Cd8a,0.0016224732970522402,-0.0273595762089441,-0.029845271197802847,-0.0032403009016907527,-0.0014301667499149614,Trajectory-2,0.0,208.0,0.0
Cd93,0.001219215966406539,0.010691477649265887,-0.00853757856284392,0.0023175033235903527,0.00037867197471781175,Trajectory-3,0.0,0.0,150.0
Cdk3-ps,0.001336915991039697,0.0025574165160007424,-6.451807607800525e-06,0.0028505577468563165,-0.00022777457877044038,Trajectory-3,0.0,0.0,115.0
Cdkn1c,0.0009493941381701336,0.0022168058181801184,0.0010517982083551693,-0.0013533122166761561,-0.0015770483721317173,Trajectory-3,0.0,0.0,38.0
Cdkn2a,0.0014479042140905988,-0.01501235031012372,-0.012231060295885358,0.0005203910861425506,-0.00044495288933890604,Trajectory-2,0.0,190.0,0.0
