gene,DM_1,DM_2,DM_3,DM_4,DM_5,selected,Pseudoorder-1,Pseudoorder-2
LDLRAD2,0.001003351612959104,0.00023016187081549523,-0.000991252325958954,0.0005614590664690521,0.00037168791214974164,Trajectory-2,0.0,103.0
LHX4,-0.0008027344533555315,0.0006334170562450072,-0.0002327722556278906,-0.0006403792299258989,0.0008703588869690251,Trajectory-1,111.0,0.0
LHX6,-0.0023797023067829467,0.0009867596508974328,-0.0013809638563047758,-0.001181016893502417,-0.0005661113795891262,Trajectory-1,113.0,0.0
LIPH,-2.5393370608025238e-05,0.0005398264199930964,-0.002281492538431904,0.0002048157594308352,0.00028886604430541744,Trajectory-1,24.0,0.0
LIX1,-0.02110389898664117,-0.031270848448176895,0.0038287852625568893,0.006915368107156611,-0.0002759529311117768,Trajectory-1,227.0,0.0
LMO2,0.002801755199458484,-0.0003888971766935413,0.0006165653339759148,0.002179658638454333,-0.0008815721690085239,Trajectory-2,0.0,130.0
LMX1B,0.0016411438731620106,-0.0003620948700658104,0.0024845641353552755,-0.0017762911906465876,0.0005080192451625035,Trajectory-2,0.0,226.0
LOC100289518,0.000814023977814961,6.054556642037752e-05,0.00041370018708295045,-0.0005079602477709352,-5.308204330100982e-05,Trajectory-1,67.0,0.0
LOC107985380,-0.00011789881294345283,0.0002988862353816634,0.00018949469740714463,-0.0007983657667809033,1.3662276648371851e-05,Trajectory-1,91.0,0.0
LOC643348,0.002578035546469955,-0.000780493617491291,0.003217214541544799,-0.0018926008637310632,0.00030261279914065817,Trajectory-2,0.0,233.0
LPAR5,-0.000573549056482841,0.0008598636896051412,-0.0035691162046795886,-0.00038444070037612455,-0.0002582690910660392,Trajectory-1,4.0,0.0
LPL,0.004376598186284716,-0.001968746071080167,0.007587697761989724,-0.00531745551894095,0.000380940687726012,Trajectory-2,0.0,267.0
LPO,0.0017331693436340512,-2.4390224303874182e-05,-0.0006238745226499551,0.0011697713594090251,0.00020621587669934313,Trajectory-2,0.0,109.0
LRRC75A,0.001111996350825021,0.0003570205740357482,-0.001940304816039554,0.0013734607593851515,0.00010343129823424677,Trajectory-2,0.0,18.0
LRRK1,-0.005870733864857685,0.0026131863625065916,-0.0020349845762877047,-0.0030200150737687095,0.004038970765093568,Trajectory-1,135.0,0.0
LUM,-0.020121906911284623,-0.02867880451514092,0.0032431113159074837,0.00568521512670864,-0.00047138626877022387,Trajectory-1,226.0,0.0
LUZP2,-0.008432473667492295,0.004885797903588356,0.0014314606450507208,-0.0013112081565836667,0.003422312741126201,Trajectory-1,173.0,0.0
LY96,0.0020042551957276085,-0.00042724097223695523,0.0019504619523722292,-0.0009505782548588892,0.00035627954139364566,Trajectory-2,0.0,215.0
MAFB,0.0030758164326251795,-0.0006307530228522368,0.001666878601287069,0.0012298296660890583,-0.0006822627542636821,Trajectory-2,0.0,173.0
MANBA,0.002445560686366812,-0.0002573253247657063,0.0002611839515414754,0.0016061896182166784,-0.000427961050379702,Trajectory-2,0.0,138.0
MCOLN3,-0.003994380761690859,0.0001484869369675359,-0.0029827783025817077,-0.002404649432805396,0.0022491833137437403,Trajectory-1,119.0,0.0
MCTP1,0.0017653401876804036,-4.8793522522690526e-05,-0.0004233916993944498,0.0009500939589869418,-0.00021861947623159076,Trajectory-2,0.0,126.0
MEMO1,0.00276993763834501,-0.00038514700889137225,0.0006076737618625402,0.0021248273819190846,-0.000815694539604839,Trajectory-2,0.0,132.0
MEOX2,-0.0054435001433895186,0.0015639602871905106,-0.0006265229207259216,-0.0023595499624051845,-0.0009782149949575081,Trajectory-1,147.0,0.0
MIXL1,-0.00020538794579536538,0.0005629751657568824,-0.001930029908604825,-0.00015881110591857756,0.0014051220835551285,Trajectory-1,35.0,0.0
MMP25,0.0015411297571308043,4.735648293521588e-05,-0.0002710712943799582,0.0006417930341121963,0.0004519599612215561,Trajectory-2,0.0,142.0
MS4A4A,-0.0024514109509796607,0.0010769718581012766,-0.0035617811198628835,-0.0020582029044225003,-0.0010710210098332765,Trajectory-1,45.0,0.0
MSC,0.0018555634388251459,9.89192478911605e-06,-0.0006598671816929286,0.0015041391409439124,-0.0002299798607328609,Trajectory-2,0.0,96.0
MTTP,-0.016405700080015313,0.008442539320266857,0.010253648554162498,0.003712409812530528,-0.0038943786613788956,Trajectory-1,209.0,0.0
