gene,DM_1,DM_2,DM_3,DM_4,DM_5,selected,Pseudoorder-1,Pseudoorder-2,Pseudoorder-3
D230030E09Rik,0.000981424673935605,-0.0006405155750621791,0.0009407407623582173,-0.0005503680115234335,-0.0001630800800763958,Other,0.0,0.0,0.0
Dab2,0.0010264703509326731,-0.0006450457010348164,0.0008650249205924438,0.0010980016922205798,-0.002038417104309657,Other,0.0,0.0,0.0
Dand5,0.0009193023313432025,-0.0007143972595866711,0.0009994145744494987,0.0019547487072545137,0.000738986620411921,Other,0.0,0.0,0.0
Daw1,0.0005632083134026572,-0.00042299321876783824,0.0009783271729357237,-0.013347410874317329,0.0072819881562707885,Other,0.0,0.0,0.0
Dbx1,0.001108961620864751,-0.0007428773546198885,0.0009365646835770451,0.0017429295435111762,-0.0019014079589527813,Other,0.0,0.0,0.0
Dcn,0.0011085101219631944,-0.0007206091107561663,0.0010257464599510036,0.0021230198712658198,0.0018528877073731406,Other,0.0,0.0,0.0
Dkk1,0.001133652921394345,-0.0007535721883885498,0.0009899368154777943,0.0020879161214324413,-0.0010179620299544257,Other,0.0,0.0,0.0
Dkk4,0.0012212832408227499,-0.0008218768448391933,0.0011149587242702875,0.0037240983666707796,0.0021248106085682778,Other,0.0,0.0,0.0
Dll1,0.001150684209520318,-0.0007729126222653521,0.0009848898861685724,0.002485382711918999,-0.0016477050375046554,Other,0.0,0.0,0.0
Dll3,0.001195975962173298,-0.0008042879980285686,0.0010761523121285553,0.003334318107905315,0.0005774010311340494,Other,0.0,0.0,0.0
Dlx2,0.0010163418240850544,-0.0006630160139275189,0.0007682416295798024,0.00048112841379973736,-0.002702006077893806,Other,0.0,0.0,0.0
Dlx5,0.001179623483728227,-0.0007920209079945215,0.0010614046823934958,0.002968793523343734,0.0002696233449826002,Other,0.0,0.0,0.0
Dmkn,0.0011583810547426733,-0.0007750064289652201,0.0011350746958352432,0.0026964946341095962,0.003462271112350991,Other,0.0,0.0,0.0
Dmrt2,0.0010095154819870652,-0.0006770930782363272,0.0006890576354253193,0.0006946744980705204,-0.0034645895145042,Other,0.0,0.0,0.0
Dnaaf1,0.0005725948860735774,-0.00048402880760835856,0.000853065867486277,-0.006871235224923349,0.0019768990914002956,Other,0.0,0.0,0.0
Dnah12,0.0002948256442590516,-0.0002946491845292906,0.0009235700550439615,-0.020434183775334167,0.01051380881140364,Other,0.0,0.0,0.0
