gene,DM_1,DM_2,DM_3,DM_4,DM_5,selected,Pseudoorder-1,Pseudoorder-2
EN2,-0.002573817769904855,0.002407651466488815,-0.0011717388211763202,-0.0009197923117716659,0.0017555135257663155,Trajectory-1,205.0,0.0
ENDOD1,0.007799658565885675,-0.0028860287065175403,0.0002487548958105697,0.0025786084753795483,-0.0005980484931392968,Trajectory-2,0.0,130.0
ENG,0.008346586987830393,-0.003330315841208302,0.00039832777514270986,0.0035875279502324818,-0.0006492714298515324,Trajectory-2,0.0,143.0
ENSG00000227834,-0.0008917229679063692,0.001215326896294471,-0.00268226439449066,-0.0005227557250544448,0.0022487306643838825,Trajectory-1,180.0,0.0
ENSG00000229447,0.0037004379007609064,-0.00013700035257991155,-0.000678932607303242,-0.0012764513204731034,0.0009513882923563485,Trajectory-2,0.0,76.0
ENSG00000233583,-0.005422619341759819,0.002478352614677044,-0.001978607923428689,0.0020387542905717744,0.003947124927034188,Trajectory-1,155.0,0.0
ENSG00000249692,-0.006586825592837611,0.002091973079911823,-0.005649659005224943,0.002868523225503233,0.0020542393910122324,Trajectory-1,103.0,0.0
ENSG00000254310,-0.009713415150955987,-0.0005294219928911322,-0.005324327193666877,0.006008181265914415,-0.016469795603263643,Trajectory-1,46.0,0.0
ENSG00000258230,-0.008229401551756941,0.0022775907602605207,-0.006976251335078975,0.005299828252384409,-0.0021450892402595447,Trajectory-1,72.5,0.0
ENSG00000258677,0.0013837112058228572,0.001044767279362444,-0.0004623392776010225,-0.0015753728926093445,0.0012381360327657317,Trajectory-1,233.0,0.0
ENSG00000260261,0.006825582104596351,-0.001806918259738105,0.0004916179075788142,-0.00021165229865629346,-0.001305951081411393,Trajectory-2,0.0,97.0
ENSG00000271075,-0.004888341730447031,0.002693286826175535,-0.004304217909797501,0.0015662707522642659,0.00579020705083313,Trajectory-1,160.0,0.0
ENSG00000271462,-0.007303852792349018,0.0033258775318648712,-0.007809590350932698,0.004561870685066695,0.007469780269346444,Trajectory-1,107.0,0.0
ENSG00000273673,0.0063759251917699595,-0.0014246166702060247,0.000355065466855153,-0.0010170765905943536,-0.0011959271357775414,Trajectory-2,0.0,85.0
ENSG00000278704,-0.00830538275989793,-0.0028458400663510255,-0.0022179564552145424,0.0013804029553357161,-0.0016979841920947009,Trajectory-1,45.0,0.0
ENSG00000278817,0.0013617184247119,0.0023340637664301484,0.0014272888138173769,-0.0048447383913145315,-0.0003733872992085335,Trajectory-1,274.0,0.0
ENSG00000282988,-0.005017949056598014,0.0018545170793040344,-0.0038419552774093505,0.0007413679730009367,0.0012538845532426394,Trajectory-1,139.0,0.0
ENSG00000283196,-0.001099293328210546,0.002199812717177575,-0.0007271741859312651,-0.0023994581425196377,0.0011874963155666968,Trajectory-1,229.0,0.0
ENSG00000283809,0.009689593821982185,-0.004939207225304987,0.00023659882574354833,0.008338464013843616,0.0007304044836645478,Trajectory-2,0.0,168.0
ENSG00000283864,-0.008539142417427491,-0.0001291259200811831,-0.0038468322869237006,0.003424592847433568,-0.0017251519600368465,Trajectory-1,60.0,0.0
ENSG00000284912,0.006368262608131747,-0.0020003582114310045,-0.0002974948594766006,0.001497368557536842,0.00037680958027465746,Trajectory-2,0.0,116.0
ENSG00000284989,-0.005542985335539062,0.0012401434457640058,-0.001310052756863455,0.00036536753393789456,1.4774849221634677e-05,Trajectory-1,140.0,0.0
ENSG00000285708,-0.005606263029711445,0.0031578996506785462,-0.0066651998435953794,0.0028667490322892815,0.008026316707369816,Trajectory-1,138.0,0.0
ENSG00000288391,-0.0070682918380330405,0.0027794472624444303,-0.0060805185146900085,0.0036860468923013995,0.004211799571457772,Trajectory-1,114.0,0.0
ENSG00000288431,0.003100220595770366,-0.0003723921749134149,-0.0010972432219813844,0.0005133020139845042,0.0016132751635400356,Trajectory-2,0.0,112.0
EPHA3,-0.0004630211905363385,0.002165504942304544,-0.0001538734509541911,-0.0030392530395112177,0.0006063814867235635,Trajectory-1,239.0,0.0
EPHA5,-0.003561460423738982,0.001108731013470868,-0.002102417466705119,-0.00032014080158860453,0.0018089860610544875,Trajectory-1,152.0,0.0
EPN3,0.010750549285551577,-0.006381559819353335,0.00014183128469640605,0.013670108958994676,0.0031183002189186454,Trajectory-2,0.0,179.0
ETV3L,0.0023013464991630955,0.0011427557932554306,0.0011010534894470448,-0.0027069791984842572,-0.00043473935152482825,Trajectory-1,254.0,0.0
EVA1B,0.0037833855994864932,0.0007988248841637726,0.0007753278075938845,-0.00445662121079448,-0.0009541220803866832,Trajectory-2,0.0,15.0
EXOC1L,-0.008915230019671944,-0.00028419209950928244,-0.0027137694772316674,0.004085316116592005,-0.0061281977890062286,Trajectory-1,58.0,0.0
EXT2,0.0062645967837086074,-0.0007630776213900408,0.0011461999649271851,-0.003396576156601294,-0.0027792091599256404,Trajectory-2,0.0,42.0
EYA4,-0.0076477741343919155,-0.0014536694981730587,0.0001615846087454937,0.0011323128480228573,-0.0021524046961585064,Trajectory-1,63.0,0.0
F10,-0.00650207810273429,0.0019380822787964478,-0.002896115834111572,0.00203305818497735,0.0009555144304354209,Trajectory-1,130.0,0.0
F13A1,0.004002464484664253,-0.000401621794213841,-5.2413655453131e-05,-0.0012935037627596342,-0.00020018459196912414,Trajectory-2,0.0,87.0
FABP5P7,-0.004869741516804485,0.003016090674315439,0.00131178773752992,0.0008599961587810373,0.001211625101435931,Trajectory-1,190.0,0.0
FAM110B,0.006926339503316384,-0.0016888054916498734,0.0006767889304198824,-0.0009571876509030626,-0.0019375129619100284,Trajectory-2,0.0,89.0
FAM171A2,-0.003995755417745679,0.002737106772711593,0.00030617703147943145,-0.0003844762485551722,0.0007317076547408692,Trajectory-1,197.0,0.0
FBN1,-0.0018778785398944516,0.005165407697446319,0.005841036595003212,-0.0033620226850965304,-0.0002026020781739003,Trajectory-1,277.0,0.0
FCRLA,-0.014027538703073755,-0.018180519039504274,0.004757618393253546,-0.000755992181083963,-0.0061564142153349285,Trajectory-1,25.0,0.0
FGF17,-0.008803693304546044,0.016958533536622147,0.035886360616561884,0.01676972585923486,0.0018829490852715527,Trajectory-1,311.0,0.0
FGF4,0.011027868322697733,-0.006685320894005723,0.00016170429649977626,0.014574033256841396,0.0033223892457351673,Trajectory-2,0.0,182.0
FGFBP3,0.00852187492658977,-0.0033914041625964257,0.0004932805742141339,0.003318545075778142,-0.001139852337833841,Trajectory-2,0.0,138.0
FGL1,0.0003868557130923704,0.0012828252950722418,-0.0010539236457229393,-0.0013381219836783222,0.0022098390725443337,Trajectory-1,223.0,0.0
FGR,-0.014922034156880901,-0.023864908290891076,0.008474475608228466,-0.004005360789076548,0.0025431200427483737,Trajectory-1,21.0,0.0
FLG2,-0.01183589954767263,-0.01398926139386755,0.003298155452282125,-0.0012457290515127664,-0.0038945645994705818,Trajectory-1,28.0,0.0
FN1,0.0024289681166082605,0.002172664988022731,0.0017226884831897601,-0.006148887417444994,-0.0011256573011284407,Trajectory-1,281.0,0.0
FOS,0.008213556513913305,-0.0030064172160379613,0.0005713765840418179,0.0021757342856204226,-0.0015167295220163896,Trajectory-2,0.0,123.0
FOSB,-0.005716041456248978,0.0014571658332281268,-0.003727678192674127,0.0011726164778373008,0.00026340844813324093,Trajectory-1,123.0,0.0
FOXA2,-0.006987720387588244,0.013033728769618032,0.0253296902695407,0.009611953628808474,0.0011837882033478913,Trajectory-1,291.0,0.0
FOXN4,-0.007380015699524402,0.0024417058169442793,0.0028655829095205537,0.003484481021053503,-0.0011512166403670828,Trajectory-1,143.0,0.0
GABBR1,0.00684207057131595,-0.0022029813851912584,-5.737331300321794e-05,0.001523346581451093,-5.812947558967266e-05,Trajectory-2,0.0,117.0
GABRA4,-0.006375405233548492,0.0022625648719391193,-0.0033224340521403116,0.0022164126927296827,0.001970320421318459,Trajectory-1,132.0,0.0
GAS2L1,-0.004491264296294232,0.010018437281989503,0.017952971766344673,0.0034002640566829835,0.0003499539975916836,Trajectory-1,294.0,0.0
GBP2,-0.004509996245284212,0.002128400739099005,-0.003067686603545051,0.0007667891525762516,0.0022611851959016428,Trajectory-1,157.0,0.0
GCNA,0.004778984823769488,-0.0006103856661135424,0.0001704624518594429,-0.0015806577136503947,-0.0005978771151379032,Trajectory-2,0.0,78.0
GJB2,0.005200959716085602,-0.0009317906154175653,4.7911117501345096e-05,-0.00040348370999960983,-6.296966294276779e-05,Trajectory-2,0.0,104.0
GKAP1,-0.0005845493716706716,0.002583611314433533,0.0007546092243840861,-0.0035263365718218066,0.0002907529396681245,Trajectory-1,244.0,0.0
GLIS1,-0.00774144418863231,0.008959940939188569,0.018442829867355834,0.008008099484270772,-0.0008092766603656291,Trajectory-1,249.0,0.0
