dataset,variant,seed,coherence,coverage,strength,n_sig
zeisel_brain,PRISM_opt10,1,0.4837062529231411,0.6306076276664513,1.8922547910192784,78
zeisel_brain,PRISM_opt10,2,0.4892965068821678,0.6038239538239538,1.9309695614070093,83
zeisel_brain,PRISM_opt10,3,0.5478281248031772,0.7468253968253968,1.9093309087703687,116
zeisel_brain,PRISM_opt10,4,0.5479374747649794,0.7363492063492064,1.908360408211488,116
zeisel_brain,PRISM_opt10,5,0.4788786233617995,0.6592156862745098,1.8814453762784105,81
zeisel_brain,PRISM_opt10,6,0.4862933738037254,0.6942577030812325,1.8498286316724355,95
zeisel_brain,PRISM_opt10,7,0.4788786233617996,0.6592156862745099,1.881445376278411,81
zeisel_brain,PRISM_opt10,8,0.5487827038403642,0.7225490196078431,1.907147411079011,106
zeisel_brain,PRISM_opt10,9,0.4837062529231411,0.6306076276664512,1.892254791019278,78
hemogenic_endothelium,PRISM_opt10,0,0.6562700313314819,0.9741666666666668,7.831681859227683,214
hemogenic_endothelium,PRISM_opt10,1,0.6544577700998078,0.9741666666666668,7.692634593010484,213
hemogenic_endothelium,PRISM_opt10,2,0.6532749333342797,0.9741666666666668,7.831681859227683,214
hemogenic_endothelium,PRISM_opt10,3,0.6566172669819595,0.9741666666666668,7.470048290305456,227
hemogenic_endothelium,PRISM_opt10,4,0.6562700313314819,0.9741666666666668,7.831681859227683,214
hemogenic_endothelium,PRISM_opt10,5,0.6562700313314818,0.9741666666666668,7.831681859227683,214
hemogenic_endothelium,PRISM_opt10,6,0.6562700313314819,0.9741666666666668,7.831681859227683,214
hemogenic_endothelium,PRISM_opt10,7,0.6574546877784864,0.975,7.883859363375022,213
hemogenic_endothelium,PRISM_opt10,8,0.6562700313314819,0.9741666666666668,7.831681859227683,214
hemogenic_endothelium,PRISM_opt10,9,0.6532749333342798,0.9741666666666668,7.831681859227683,214
pancreas,PRISM_opt10,0,0.3510785194455115,0.7047815617475061,5.11731951829736,136
pancreas,PRISM_opt10,1,0.3374121591627559,0.7962848297213622,4.970877327484973,153
pancreas,PRISM_opt10,2,0.2663355256479606,0.7841417268661851,3.84634614292546,149
pancreas,PRISM_opt10,3,0.261160012187657,0.7151702786377708,4.319752314809907,121
pancreas,PRISM_opt10,4,0.2696527885451747,0.7953216374269007,4.024490823620214,161
pancreas,PRISM_opt10,5,0.3460545869408591,0.7176470588235293,4.78975510415272,140
pancreas,PRISM_opt10,6,0.3490449678108874,0.7857585139318886,4.829542202224952,147
pancreas,PRISM_opt10,7,0.3363896382625221,0.7426900584795322,4.970663680532375,147
pancreas,PRISM_opt10,8,0.3490449678108874,0.7857585139318886,4.829542202224952,147
pancreas,PRISM_opt10,9,0.3493372458028866,0.7532163742690059,5.088117533672252,171
gastrulation,PRISM_opt10,0,0.4117759665284881,0.828257810301154,3.543196392329224,293
gastrulation,PRISM_opt10,1,0.4150413136127595,0.7421896988460456,3.1400769570847844,218
gastrulation,PRISM_opt10,2,0.411775966528488,0.828257810301154,3.543196392329224,293
gastrulation,PRISM_opt10,3,0.4150496763423894,0.7436602870813397,3.1418117145317668,218
gastrulation,PRISM_opt10,4,0.4150496763423894,0.7436602870813397,3.1418117145317668,218
gastrulation,PRISM_opt10,5,0.4150496763423893,0.7436602870813397,3.1418117145317668,218
gastrulation,PRISM_opt10,6,0.375153448207994,0.83062435500516,3.005340326138269,179
gastrulation,PRISM_opt10,7,0.4150413136127595,0.7421896988460456,3.140076957084784,218
gastrulation,PRISM_opt10,8,0.4117759665284881,0.828257810301154,3.543196392329224,293
gastrulation,PRISM_opt10,9,0.4093670316623668,0.8983253588516746,3.6122644046162247,211
gastrulation_e75,PRISM_opt10,0,0.6478927986524249,0.8866666666666665,5.31915802719319,457
gastrulation_e75,PRISM_opt10,1,0.6601019360663274,0.8784210526315789,5.807024121161113,371
gastrulation_e75,PRISM_opt10,2,0.6601019360663274,0.8784210526315789,5.807024121161114,371
gastrulation_e75,PRISM_opt10,3,0.6489324770372742,0.8866666666666667,5.461884297116372,458
gastrulation_e75,PRISM_opt10,4,0.6500798015480558,0.8866666666666667,5.431173450732706,486
gastrulation_e75,PRISM_opt10,5,0.6489324770372743,0.8866666666666667,5.461884297116372,458
gastrulation_e75,PRISM_opt10,6,0.6490401231632063,0.8866666666666667,5.288447180809525,485
gastrulation_e75,PRISM_opt10,7,0.6601019360663274,0.8784210526315789,5.807024121161113,371
gastrulation_e75,PRISM_opt10,8,0.6601019360663274,0.8784210526315789,5.807024121161114,371
gastrulation_e75,PRISM_opt10,9,0.6490401231632063,0.8866666666666667,5.288447180809524,485
gastrulation_erythroid,PRISM_opt10,0,0.4119001835377502,0.828235294117647,1.8525378000179749,448
gastrulation_erythroid,PRISM_opt10,1,0.4018182990405438,0.8549450549450551,1.7808680554539056,528
gastrulation_erythroid,PRISM_opt10,2,0.4018182990405437,0.8549450549450549,1.7808680554539051,528
gastrulation_erythroid,PRISM_opt10,3,0.4018182990405437,0.8549450549450549,1.7808680554539051,528
gastrulation_erythroid,PRISM_opt10,4,0.4018182990405437,0.8549450549450549,1.7808680554539051,528
