gene,DM_1,DM_2,DM_3,DM_4,DM_5,selected,Pseudoorder-1,Pseudoorder-2,Pseudoorder-3
CXCR4,-9.208242866753306e-05,0.0009628902609079824,-0.0011301288655053518,0.0039218019399574625,-0.0010508995827883893,Trajectory-3,0.0,0.0,246.0
CYGB,-0.0002892390560969043,0.0004204280847394362,0.007380005429353557,-0.0021169625142138343,0.000693935965146237,Trajectory-3,0.0,0.0,50.0
CYTH4,0.0024036065536031364,0.001010989189461253,0.00029877274019594977,0.007719114185183764,-0.0007586274123852057,Trajectory-3,0.0,0.0,247.0
CYTIP,-0.000688840716336458,0.0010322312857715676,-0.00424959947259031,0.0009259188422505345,0.00031875652435954055,Trajectory-3,0.0,0.0,297.0
DBN1,-0.000836209450326878,0.0006266447287854389,-0.003350318895273033,-0.0005211760181218376,-0.0012170808007918713,Other,0.0,0.0,0.0
DDIT4,-0.0003687288931547998,0.0008862651587480234,-0.00234232097419703,0.0021864482725625915,-0.0013713008217891168,Trajectory-3,0.0,0.0,257.0
DDX25,-0.0006022248501978108,-0.00036542174441545874,0.005158429127131561,-0.002536869520502584,-0.000798757928801572,Trajectory-3,0.0,0.0,66.0
DFNA5,-0.00029995459127994965,0.0006008507544536577,0.005159615718964673,-0.001062167285295153,0.0007087829357846966,Trajectory-3,0.0,0.0,87.0
DIRAS3,-0.0008838940153918603,0.0009680387598190217,-0.003841289388909101,-0.0015290337667005082,0.0026265221257674143,Other,0.0,0.0,0.0
DISP3,-0.0005621912105338775,0.0008902155173143179,0.0005873575375045366,-0.0006632266331736934,0.0013302948257941862,Trajectory-3,0.0,0.0,144.0
DLK1,-0.0009669287237431386,0.0010030772323403212,-0.004461632879661934,-0.002858993320919697,0.0047524186314793155,Other,0.0,0.0,0.0
DPYSL5,-0.0006520675074984819,0.0007688679143363786,0.0010797833209940158,-0.0015573893925961996,0.0015185953867791183,Trajectory-3,0.0,0.0,124.0
DTX1,-0.0003161255720303039,0.0003930819582858487,0.007846592980220748,-0.002498972254891964,0.0008137926054653718,Trajectory-3,0.0,0.0,38.0
DUSP26,-0.00029993607407534904,0.0003024734287878663,0.008423360643469496,-0.00274621415951146,0.0007289608040747622,Trajectory-3,0.0,0.0,11.0
DUSP6,-0.0006493622560306238,0.0010865097011372572,-0.003986703921825889,0.001524137369050531,0.00048048359861291203,Trajectory-3,0.0,0.0,300.0
DYRK3,-0.000800475596189413,-0.0005447722119531809,-0.0005487356896376701,-0.0009381461082057548,-0.0045665873130203765,Other,0.0,0.0,0.0
EBF1,-0.0002967320756805952,0.0003847981281637197,0.007648863390270145,-0.0022752556470927556,0.0007080166478800391,Trajectory-3,0.0,0.0,46.0
