dataset,method,seed,spearman_abs,n_genes,sd,p05,p50,p95,n_draws
gastrulation_erythroid,prism_int,0,0.8944271909999159,4,,,,,
gastrulation_erythroid,prism_full,1,0.9636241116594317,8,,,,,
gastrulation_erythroid,prism_int,1,0.8944271909999159,4,,,,,
gastrulation_erythroid,prism_full,2,0.9265616458263766,8,,,,,
gastrulation_erythroid,prism_int,2,0.8944271909999159,4,,,,,
gastrulation_erythroid,prism_full,3,0.9265616458263766,8,,,,,
gastrulation_erythroid,prism_int,3,0.8944271909999159,4,,,,,
gastrulation_erythroid,prism_full,4,0.9265616458263766,8,,,,,
gastrulation_erythroid,prism_int,4,0.8944271909999159,4,,,,,
gastrulation_erythroid,prism_full,5,0.9265616458263766,8,,,,,
gastrulation_erythroid,prism_int,5,0.8944271909999159,4,,,,,
gastrulation_erythroid,prism_full,6,0.9265616458263766,8,,,,,
gastrulation_erythroid,prism_int,6,0.8944271909999159,4,,,,,
gastrulation_erythroid,prism_full,7,0.9265616458263766,8,,,,,
gastrulation_erythroid,prism_int,7,0.8944271909999159,4,,,,,
gastrulation_erythroid,prism_full,8,0.9265616458263766,8,,,,,
gastrulation_erythroid,prism_int,8,0.8944271909999159,4,,,,,
gastrulation_erythroid,prism_full,9,0.9265616458263766,8,,,,,
gastrulation_erythroid,prism_int,9,0.8944271909999159,4,,,,,
gastrulation_erythroid,random_full,-1,0.31130000468710717,8,0.21819046725239688,0.024708310555370042,0.2717914161090705,0.7288951613834163,10000.0
gastrulation_erythroid,random_int,-1,0.4491366139606078,4,0.36549919420717825,0.0,0.4472135954999579,0.8944271909999159,10000.0
hemogenic_endothelium,prism_full,0,0.9356014857063997,15,,,,,
hemogenic_endothelium,prism_int,0,0.9356014857063997,15,,,,,
hemogenic_endothelium,prism_full,1,0.9356014857063997,15,,,,,
hemogenic_endothelium,prism_int,1,0.9356014857063997,15,,,,,
hemogenic_endothelium,prism_full,2,0.9356014857063997,15,,,,,
hemogenic_endothelium,prism_int,2,0.9356014857063997,15,,,,,
hemogenic_endothelium,prism_full,3,0.9094046441066205,15,,,,,
hemogenic_endothelium,prism_int,3,0.9094046441066205,15,,,,,
hemogenic_endothelium,prism_full,4,0.9356014857063997,15,,,,,
hemogenic_endothelium,prism_int,4,0.9356014857063997,15,,,,,
hemogenic_endothelium,prism_full,5,0.9356014857063997,15,,,,,
hemogenic_endothelium,prism_int,5,0.9356014857063997,15,,,,,
hemogenic_endothelium,prism_full,6,0.9187606589636845,15,,,,,
hemogenic_endothelium,prism_int,6,0.9187606589636845,15,,,,,
hemogenic_endothelium,prism_full,7,0.901919832220969,15,,,,,
hemogenic_endothelium,prism_int,7,0.901919832220969,15,,,,,
hemogenic_endothelium,prism_full,8,0.9356014857063997,15,,,,,
hemogenic_endothelium,prism_int,8,0.9356014857063997,15,,,,,
hemogenic_endothelium,prism_full,9,0.9356014857063997,15,,,,,
hemogenic_endothelium,prism_int,9,0.9356014857063997,15,,,,,
hemogenic_endothelium,random_full,-1,0.21783740375910102,15,0.15830165896959086,0.01684082674271519,0.18712029714127992,0.5239368319955838,10000.0
hemogenic_endothelium,random_int,-1,0.21783740375910102,15,0.15830165896959086,0.01684082674271519,0.18712029714127992,0.5239368319955838,10000.0
bonemarrow,prism_full,0,0.9065645654268776,20,,,,,
bonemarrow,prism_int,0,0.9065645654268776,20,,,,,
bonemarrow,prism_full,1,0.9015301785942793,20,,,,,
bonemarrow,prism_int,1,0.9015301785942793,20,,,,,
bonemarrow,prism_full,2,0.9069055714819795,20,,,,,
bonemarrow,prism_int,2,0.9069055714819795,20,,,,,
bonemarrow,prism_full,3,0.9007622653246078,20,,,,,
bonemarrow,prism_int,3,0.9007622653246078,20,,,,,
bonemarrow,prism_full,4,0.9007622653246078,20,,,,,
bonemarrow,prism_int,4,0.9007622653246078,20,,,,,
bonemarrow,prism_full,5,0.9004235692173813,20,,,,,
bonemarrow,prism_int,5,0.9004235692173813,20,,,,,
bonemarrow,prism_full,6,0.9065645654268776,20,,,,,
bonemarrow,prism_int,6,0.9065645654268776,20,,,,,
bonemarrow,prism_full,7,0.9065645654268776,20,,,,,
bonemarrow,prism_int,7,0.9065645654268776,20,,,,,
bonemarrow,prism_full,8,0.8953868724369076,20,,,,,
bonemarrow,prism_int,8,0.8953868724369076,20,,,,,
bonemarrow,prism_full,9,0.9007622653246078,20,,,,,
bonemarrow,prism_int,9,0.9007622653246078,20,,,,,
bonemarrow,random_full,-1,0.18680595743231723,20,0.13722452103677035,0.014584865997553492,0.15966590144690138,0.4505955968717842,10000.0
bonemarrow,random_int,-1,0.18680595743231723,20,0.13722452103677035,0.014584865997553492,0.15966590144690138,0.4505955968717842,10000.0
paul15,prism_full,0,0.664052277510436,8,,,,,
paul15,prism_int,0,0.9486832980505139,4,,,,,
paul15,prism_full,1,0.664052277510436,8,,,,,
paul15,prism_int,1,0.9486832980505139,4,,,,,
paul15,prism_full,2,0.664052277510436,8,,,,,
paul15,prism_int,2,0.9486832980505139,4,,,,,
paul15,prism_full,3,0.7662141663581955,8,,,,,
paul15,prism_int,3,0.9486832980505139,4,,,,,
paul15,prism_full,4,0.664052277510436,8,,,,,
paul15,prism_int,4,0.9486832980505139,4,,,,,
paul15,prism_full,5,0.664052277510436,8,,,,,
paul15,prism_int,5,0.9486832980505139,4,,,,,
paul15,prism_full,6,0.664052277510436,8,,,,,
paul15,prism_int,6,0.9486832980505139,4,,,,,
paul15,prism_full,7,0.664052277510436,8,,,,,
paul15,prism_int,7,0.9486832980505139,4,,,,,
paul15,prism_full,8,0.7662141663581955,8,,,,,
paul15,prism_int,8,0.9486832980505139,4,,,,,
paul15,prism_full,9,0.664052277510436,8,,,,,
paul15,prism_int,9,0.9486832980505139,4,,,,,
paul15,random_full,-1,0.3083118103064319,8,0.21851856652103593,0.025540472211939846,0.2681749582253684,0.7406736941462555,10000.0
paul15,random_int,-1,0.5259183976626033,4,0.23393441715821364,0.316227766016838,0.632455532033676,0.9486832980505139,10000.0
dentategyrus,prism_full,0,0.5642880936468347,5,,,,,
dentategyrus,prism_int,0,0.5642880936468347,5,,,,,
dentategyrus,prism_full,1,0.6668859288553501,5,,,,,
dentategyrus,prism_int,1,0.6668859288553501,5,,,,,
dentategyrus,prism_full,2,0.5642880936468347,5,,,,,
dentategyrus,prism_int,2,0.5642880936468347,5,,,,,
dentategyrus,prism_full,3,0.5642880936468347,5,,,,,
dentategyrus,prism_int,3,0.5642880936468347,5,,,,,
dentategyrus,prism_full,4,0.5642880936468347,5,,,,,
dentategyrus,prism_int,4,0.5642880936468347,5,,,,,
dentategyrus,prism_full,5,0.5642880936468347,5,,,,,
dentategyrus,prism_int,5,0.5642880936468347,5,,,,,
dentategyrus,prism_full,6,0.5642880936468347,5,,,,,
dentategyrus,prism_int,6,0.5642880936468347,5,,,,,
dentategyrus,prism_full,7,0.5642880936468347,5,,,,,
dentategyrus,prism_int,7,0.5642880936468347,5,,,,,
dentategyrus,prism_full,8,0.6668859288553501,5,,,,,
dentategyrus,prism_int,8,0.6668859288553501,5,,,,,
dentategyrus,prism_full,9,0.5642880936468347,5,,,,,
dentategyrus,prism_int,9,0.5642880936468347,5,,,,,
dentategyrus,random_full,-1,0.4167164973746667,5,0.2758317005407983,0.051298917604257706,0.3847418820319328,0.8720815992723809,10000.0
dentategyrus,random_int,-1,0.4167164973746667,5,0.2758317005407983,0.051298917604257706,0.3847418820319328,0.8720815992723809,10000.0
endoderm_diff,prism_full,0,0.7559289460184546,7,,,,,
endoderm_diff,prism_int,0,0.7559289460184546,7,,,,,
endoderm_diff,prism_full,1,0.7559289460184546,7,,,,,
endoderm_diff,prism_int,1,0.7559289460184546,7,,,,,
endoderm_diff,prism_full,2,0.7559289460184546,7,,,,,
endoderm_diff,prism_int,2,0.7559289460184546,7,,,,,
endoderm_diff,prism_full,3,0.7559289460184546,7,,,,,
endoderm_diff,prism_int,3,0.7559289460184546,7,,,,,
endoderm_diff,prism_full,4,0.8504200642707614,7,,,,,
endoderm_diff,prism_int,4,0.8504200642707614,7,,,,,
endoderm_diff,prism_full,5,0.7559289460184546,7,,,,,
endoderm_diff,prism_int,5,0.7559289460184546,7,,,,,
endoderm_diff,prism_full,6,0.7559289460184546,7,,,,,
endoderm_diff,prism_int,6,0.7559289460184546,7,,,,,
endoderm_diff,prism_full,7,0.7559289460184546,7,,,,,
endoderm_diff,prism_int,7,0.7559289460184546,7,,,,,
endoderm_diff,prism_full,8,0.7559289460184546,7,,,,,
endoderm_diff,prism_int,8,0.7559289460184546,7,,,,,
endoderm_diff,prism_full,9,0.7559289460184546,7,,,,,
endoderm_diff,prism_int,9,0.7559289460184546,7,,,,,
endoderm_diff,random_full,-1,0.33510897123707606,7,0.23438522847158147,0.018898223650461364,0.2834733547569205,0.774827169668916,10000.0
endoderm_diff,random_int,-1,0.33510897123707606,7,0.23438522847158147,0.018898223650461364,0.2834733547569205,0.774827169668916,10000.0
gastrulation_e75,prism_full,0,0.06176371646767648,14,,,,,
gastrulation_e75,prism_int,0,0.025889447106268816,13,,,,,
gastrulation_e75,prism_full,1,0.5284229075567876,14,,,,,
gastrulation_e75,prism_int,1,0.5206655473594062,13,,,,,
gastrulation_e75,prism_full,2,0.5284229075567876,14,,,,,
gastrulation_e75,prism_int,2,0.5206655473594062,13,,,,,
gastrulation_e75,prism_full,3,0.5490108130460131,14,,,,,
gastrulation_e75,prism_int,3,0.546554994465675,13,,,,,
